Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit;Land
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4081.00;EUR/MW;20405.00;EUR;24.29;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3311.00;EUR/MW;16555.00;EUR;19.71;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;18;MW;18;MW;3382.00;EUR/MW;60876.00;EUR;20.13;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;18;MW;18;MW;3382.00;EUR/MW;60876.00;EUR;20.13;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;18;MW;18;MW;3421.00;EUR/MW;61578.00;EUR;20.36;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;18;MW;18;MW;3433.00;EUR/MW;61794.00;EUR;20.43;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;18;MW;16;MW;4442.00;EUR/MW;71072.00;EUR;26.44;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;3;MW;3;MW;2989.00;EUR/MW;8967.00;EUR;17.79;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;3;MW;3;MW;2889.00;EUR/MW;8667.00;EUR;17.20;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;1;MW;1;MW;2790.00;EUR/MW;2790.00;EUR;16.61;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;1;MW;1;MW;2888.00;EUR/MW;2888.00;EUR;17.19;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;1;MW;1;MW;3488.00;EUR/MW;3488.00;EUR;20.76;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;1;MW;1;MW;3888.00;EUR/MW;3888.00;EUR;23.14;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;1;MW;1;MW;3380.00;EUR/MW;3380.00;EUR;20.12;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;3;MW;3;MW;3383.00;EUR/MW;10149.00;EUR;20.14;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;4;MW;4;MW;3385.00;EUR/MW;13540.00;EUR;20.15;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;4;MW;4;MW;3387.00;EUR/MW;13548.00;EUR;20.16;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3389.00;EUR/MW;16945.00;EUR;20.17;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;4;MW;4;MW;3391.00;EUR/MW;13564.00;EUR;20.18;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;3;MW;3;MW;3743.00;EUR/MW;11229.00;EUR;22.28;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3745.00;EUR/MW;18725.00;EUR;22.29;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;6;MW;6;MW;3747.00;EUR/MW;22482.00;EUR;22.30;EUR/MWh*;DE
