Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit;Land;Angebotspreis;Einheit;Teilbarkeit
SRL_24_KW08_S1;Secondary control Auction SRL-;60;MW;60;MW;4312.00;CHF/MW;258720.00;CHF;25.67;CHF/MWh*;CH;25.67;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL-;30;MW;30;MW;3078.00;CHF/MW;92340.00;CHF;18.32;CHF/MWh*;CH;18.32;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL-;5;MW;5;MW;3270.00;CHF/MW;16350.00;CHF;19.46;CHF/MWh*;CH;19.46;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;10;MW;10;MW;3244.00;CHF/MW;32440.00;CHF;19.31;CHF/MWh*;CH;19.31;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;30;MW;30;MW;2216.00;CHF/MW;66480.00;CHF;13.19;CHF/MWh*;CH;13.19;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;20;MW;20;MW;2580.00;CHF/MW;51600.00;CHF;15.36;CHF/MWh*;CH;15.36;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;5;MW;5;MW;2639.28;CHF/MW;13196.40;CHF;15.71;CHF/MWh*;CH;15.71;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;5;MW;5;MW;2642.64;CHF/MW;13213.20;CHF;15.73;CHF/MWh*;CH;15.73;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;5;MW;5;MW;2956.80;CHF/MW;14784.00;CHF;17.60;CHF/MWh*;CH;17.60;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;8;MW;8;MW;2041.00;CHF/MW;16328.00;CHF;12.15;CHF/MWh*;CH;12.15;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;5;MW;5;MW;2325.12;CHF/MW;11625.60;CHF;13.84;CHF/MWh*;CH;13.84;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;8;MW;8;MW;3259.20;CHF/MW;26073.60;CHF;19.40;CHF/MWh*;CH;19.40;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;5;MW;5;MW;2640.96;CHF/MW;13204.80;CHF;15.72;CHF/MWh*;CH;15.72;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;5;MW;5;MW;2325.12;CHF/MW;11625.60;CHF;13.84;CHF/MWh*;CH;13.84;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;5;MW;5;MW;2326.80;CHF/MW;11634.00;CHF;13.85;CHF/MWh*;CH;13.85;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;5;MW;5;MW;2640.96;CHF/MW;13204.80;CHF;15.72;CHF/MWh*;CH;15.72;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;10;MW;10;MW;2323.44;CHF/MW;23234.40;CHF;13.83;CHF/MWh*;CH;13.83;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;40;MW;40;MW;2318.40;CHF/MW;92736.00;CHF;13.80;CHF/MWh*;CH;13.80;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;100;MW;100;MW;1814.40;CHF/MW;181440.00;CHF;10.80;CHF/MWh*;CH;10.80;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;5;MW;5;MW;2777.00;CHF/MW;13885.00;CHF;16.53;CHF/MWh*;CH;16.53;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL+;29;MW;29;MW;2975.00;CHF/MW;86275.00;CHF;17.71;CHF/MWh*;CH;17.71;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;10;MW;10;MW;4270.00;CHF/MW;42700.00;CHF;25.42;CHF/MWh*;CH;25.42;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;5;MW;5;MW;4873.00;CHF/MW;24365.00;CHF;29.01;CHF/MWh*;CH;29.01;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;5;MW;5;MW;4552.80;CHF/MW;22764.00;CHF;27.10;CHF/MWh*;CH;27.10;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;5;MW;5;MW;4552.80;CHF/MW;22764.00;CHF;27.10;CHF/MWh*;CH;27.10;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;5;MW;5;MW;4552.80;CHF/MW;22764.00;CHF;27.10;CHF/MWh*;CH;27.10;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;20;MW;20;MW;4973.00;CHF/MW;99460.00;CHF;29.60;CHF/MWh*;CH;29.60;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;10;MW;10;MW;4551.12;CHF/MW;45511.20;CHF;27.09;CHF/MWh*;CH;27.09;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;25;MW;25;MW;3721.00;CHF/MW;93025.00;CHF;22.15;CHF/MWh*;CH;22.15;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;10;MW;10;MW;4043.00;CHF/MW;40430.00;CHF;24.07;CHF/MWh*;CH;24.07;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;5;MW;5;MW;5105.52;CHF/MW;25527.60;CHF;30.39;CHF/MWh*;CH;30.39;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;5;MW;5;MW;4552.80;CHF/MW;22764.00;CHF;27.10;CHF/MWh*;CH;27.10;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;5;MW;5;MW;5107.20;CHF/MW;25536.00;CHF;30.40;CHF/MWh*;CH;30.40;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;5;MW;5;MW;5107.20;CHF/MW;25536.00;CHF;30.40;CHF/MWh*;CH;30.40;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;5;MW;5;MW;5107.20;CHF/MW;25536.00;CHF;30.40;CHF/MWh*;CH;30.40;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;5;MW;5;MW;5107.20;CHF/MW;25536.00;CHF;30.40;CHF/MWh*;CH;30.40;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;100;MW;100;MW;3796.80;CHF/MW;379680.00;CHF;22.60;CHF/MWh*;CH;22.60;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;40;MW;40;MW;4351.20;CHF/MW;174048.00;CHF;25.90;CHF/MWh*;CH;25.90;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;30;MW;30;MW;3581.00;CHF/MW;107430.00;CHF;21.32;CHF/MWh*;CH;21.32;CHF/MWh*;
SRL_24_KW09_S1;Secondary control Auction SRL-;5;MW;5;MW;3805.00;CHF/MW;19025.00;CHF;22.65;CHF/MWh*;CH;22.65;CHF/MWh*;
SRL_24_KW10_S1;Secondary control Auction SRL+;60;MW;60;MW;2186.00;CHF/MW;131160.00;CHF;13.01;CHF/MWh*;CH;13.01;CHF/MWh*;
