Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit
PRL_16_KW03;Primary control Auction;1;MW;1;MW;3261.00;EUR/MW;3261.00;EUR;19.41;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2898.00;EUR/MW;2898.00;EUR;17.25;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2903.00;EUR/MW;2903.00;EUR;17.28;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2908.00;EUR/MW;2908.00;EUR;17.31;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2913.00;EUR/MW;2913.00;EUR;17.34;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2918.00;EUR/MW;2918.00;EUR;17.37;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2923.00;EUR/MW;2923.00;EUR;17.40;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2928.00;EUR/MW;2928.00;EUR;17.43;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2933.00;EUR/MW;2933.00;EUR;17.46;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2938.00;EUR/MW;2938.00;EUR;17.49;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2943.00;EUR/MW;2943.00;EUR;17.52;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2948.00;EUR/MW;2948.00;EUR;17.55;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2953.00;EUR/MW;2953.00;EUR;17.58;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2958.00;EUR/MW;2958.00;EUR;17.61;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2964.00;EUR/MW;2964.00;EUR;17.64;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2969.00;EUR/MW;2969.00;EUR;17.67;EUR/MWh*
PRL_16_KW03;Primary control Auction;1;MW;1;MW;2974.00;EUR/MW;2974.00;EUR;17.70;EUR/MWh*
