Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4345;EUR/MW;43450;EUR;25.86;EUR/MWh*
PRL_15_KW16;Primary control Auction;5;MW;5;MW;4457;EUR/MW;22285;EUR;26.53;EUR/MWh*
PRL_15_KW16;Primary control Auction;21;MW;21;MW;3987;EUR/MW;83727;EUR;23.73;EUR/MWh*
PRL_15_KW16;Primary control Auction;18;MW;18;MW;4142;EUR/MW;74556;EUR;24.65;EUR/MWh*
PRL_15_KW16;Primary control Auction;27;MW;27;MW;4142;EUR/MW;111834;EUR;24.65;EUR/MWh*
PRL_15_KW16;Primary control Auction;40;MW;40;MW;4142;EUR/MW;165680;EUR;24.65;EUR/MWh*
PRL_15_KW16;Primary control Auction;12;MW;12;MW;4190;EUR/MW;50280;EUR;24.94;EUR/MWh*
PRL_15_KW16;Primary control Auction;8;MW;8;MW;4389;EUR/MW;35112;EUR;26.12;EUR/MWh*
PRL_15_KW16;Primary control Auction;6;MW;3;MW;4492;EUR/MW;13476;EUR;26.74;EUR/MWh*
PRL_15_KW16;Primary control Auction;15;MW;15;MW;4163;EUR/MW;62445;EUR;24.78;EUR/MWh*
PRL_15_KW16;Primary control Auction;15;MW;15;MW;4181;EUR/MW;62715;EUR;24.89;EUR/MWh*
PRL_15_KW16;Primary control Auction;15;MW;15;MW;4198;EUR/MW;62970;EUR;24.99;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4296;EUR/MW;42960;EUR;25.57;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4303;EUR/MW;43030;EUR;25.61;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4309;EUR/MW;43090;EUR;25.65;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4316;EUR/MW;43160;EUR;25.69;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4323;EUR/MW;43230;EUR;25.73;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4329;EUR/MW;43290;EUR;25.77;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4336;EUR/MW;43360;EUR;25.81;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4343;EUR/MW;43430;EUR;25.85;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4349;EUR/MW;43490;EUR;25.89;EUR/MWh*
PRL_15_KW16;Primary control Auction;10;MW;10;MW;4356;EUR/MW;43560;EUR;25.93;EUR/MWh*
PRL_15_KW16;Primary control Auction;13;MW;13;MW;4384;EUR/MW;56992;EUR;26.1;EUR/MWh*
PRL_15_KW16;Primary control Auction;13;MW;13;MW;4453;EUR/MW;57889;EUR;26.51;EUR/MWh*
PRL_15_KW16;Primary control Auction;4;MW;4;MW;4193;EUR/MW;16772;EUR;24.96;EUR/MWh*
PRL_15_KW17;Primary control Auction;3;MW;3;MW;3998.4;EUR/MW;11995.2;EUR;23.8;EUR/MWh*
PRL_15_KW17;Primary control Auction;3;MW;3;MW;3696;EUR/MW;11088;EUR;22;EUR/MWh*
PRL_15_KW17;Primary control Auction;3;MW;3;MW;4200;EUR/MW;12600;EUR;25;EUR/MWh*
PRL_15_KW17;Primary control Auction;3;MW;3;MW;4300;EUR/MW;12900;EUR;25.6;EUR/MWh*
PRL_15_KW17;Primary control Auction;25;MW;25;MW;3967;EUR/MW;99175;EUR;23.61;EUR/MWh*
PRL_15_KW17;Primary control Auction;25;MW;25;MW;3993;EUR/MW;99825;EUR;23.77;EUR/MWh*
PRL_15_KW17;Primary control Auction;23;MW;23;MW;4015;EUR/MW;92345;EUR;23.9;EUR/MWh*
PRL_15_KW17;Primary control Auction;3;MW;3;MW;4267;EUR/MW;12801;EUR;25.4;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;3900;EUR/MW;7800;EUR;23.21;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4100;EUR/MW;8200;EUR;24.4;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4098;EUR/MW;8196;EUR;24.39;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4198;EUR/MW;8396;EUR;24.99;EUR/MWh*
PRL_15_KW17;Primary control Auction;3;MW;3;MW;3890;EUR/MW;11670;EUR;23.15;EUR/MWh*
PRL_15_KW17;Primary control Auction;4;MW;4;MW;4080;EUR/MW;16320;EUR;24.29;EUR/MWh*
PRL_15_KW17;Primary control Auction;3;MW;3;MW;4360;EUR/MW;13080;EUR;25.95;EUR/MWh*
PRL_15_KW17;Primary control Auction;4;MW;4;MW;4016;EUR/MW;16064;EUR;23.9;EUR/MWh*
PRL_15_KW17;Primary control Auction;2;MW;2;MW;4058;EUR/MW;8116;EUR;24.15;EUR/MWh*
