Ausschreibung,Beschreibung,Total_MW
PRL_24_02_25,Primary control Auction 08:00 bis 12:00,40
PRL_24_02_25,Primary control Auction 12:00 bis 16:00,27
PRL_24_02_25,Primary control Auction 16:00 bis 20:00,90
PRL_24_02_25,Primary control Auction 20:00 bis 24:00,57
PRL_24_02_26,Primary control Auction 00:00 bis 04:00,19
PRL_24_02_26,Primary control Auction 04:00 bis 08:00,19
PRL_24_02_26,Primary control Auction 08:00 bis 12:00,58
PRL_24_02_26,Primary control Auction 12:00 bis 16:00,73
PRL_24_02_26,Primary control Auction 16:00 bis 20:00,94
PRL_24_02_26,Primary control Auction 20:00 bis 24:00,44
PRL_24_02_27,Primary control Auction 00:00 bis 04:00,26
PRL_24_02_27,Primary control Auction 04:00 bis 08:00,29
PRL_24_02_27,Primary control Auction 08:00 bis 12:00,20
PRL_24_02_27,Primary control Auction 12:00 bis 16:00,38
PRL_24_02_27,Primary control Auction 16:00 bis 20:00,35
PRL_24_02_27,Primary control Auction 20:00 bis 24:00,29
PRL_24_02_28,Primary control Auction 00:00 bis 04:00,24
PRL_24_02_28,Primary control Auction 04:00 bis 08:00,26
PRL_24_02_28,Primary control Auction 08:00 bis 12:00,32
PRL_24_02_28,Primary control Auction 12:00 bis 16:00,52
PRL_24_02_28,Primary control Auction 16:00 bis 20:00,76
PRL_24_02_28,Primary control Auction 20:00 bis 24:00,26
PRL_24_02_29,Primary control Auction 00:00 bis 04:00,45
PRL_24_02_29,Primary control Auction 04:00 bis 08:00,68
PRL_24_02_29,Primary control Auction 08:00 bis 12:00,108
PRL_24_02_29,Primary control Auction 12:00 bis 16:00,88
PRL_24_02_29,Primary control Auction 16:00 bis 20:00,118
PRL_24_02_29,Primary control Auction 20:00 bis 24:00,45
PRL_24_03_01,Primary control Auction 00:00 bis 04:00,31
PRL_24_03_01,Primary control Auction 04:00 bis 08:00,30
PRL_24_03_01,Primary control Auction 08:00 bis 12:00,65
PRL_24_03_01,Primary control Auction 12:00 bis 16:00,51
PRL_24_03_01,Primary control Auction 16:00 bis 20:00,71
PRL_24_03_01,Primary control Auction 20:00 bis 24:00,43
PRL_24_03_02,Primary control Auction 00:00 bis 04:00,31
PRL_24_03_02,Primary control Auction 04:00 bis 08:00,31
PRL_24_03_02,Primary control Auction 08:00 bis 12:00,31
