Ausschreibung,Preis
PRL_24_03_26_1,8.86
PRL_24_03_26_2,8.94
PRL_24_03_26_3,14.64
PRL_24_03_26_4,14.48
PRL_24_03_26_5,13.5
PRL_24_03_26_6,7.48
PRL_24_03_27_1,7.55
PRL_24_03_27_2,8.31
PRL_24_03_27_3,13.51
PRL_24_03_27_4,14.0
PRL_24_03_27_5,13.9
PRL_24_03_27_6,7.98
PRL_24_03_28_1,7.07
PRL_24_03_28_2,7.29
PRL_24_03_28_3,12.03
PRL_24_03_28_4,18.2
PRL_24_03_28_5,13.0
PRL_24_03_28_6,7.36
PRL_24_03_29_1,7.0
PRL_24_03_29_2,7.92
PRL_24_03_29_3,15.92
PRL_24_03_29_4,22.21
PRL_24_03_29_5,13.28
PRL_24_03_29_6,7.93
PRL_24_03_30_1,10.31
PRL_24_03_30_2,9.75
PRL_24_03_30_3,14.67
PRL_24_03_30_4,22.99
PRL_24_03_30_5,14.3
PRL_24_03_30_6,8.46
PRL_24_03_31_1,13.16
PRL_24_03_31_2,9.16
PRL_24_03_31_3,15.93
PRL_24_03_31_4,24.71
PRL_24_03_31_5,15.49
PRL_24_03_31_6,9.58
PRL_24_04_01_1,11.39
PRL_24_04_01_2,11.23
PRL_24_04_01_3,19.5
PRL_24_04_01_4,28.75
PRL_24_04_01_5,14.44
PRL_24_04_01_6,10.08
PRL_24_04_02_1,11.06
PRL_24_04_02_2,10.02
PRL_24_04_02_3,15.25
PRL_24_04_02_4,24.88
PRL_24_04_02_5,17.18
PRL_24_04_02_6,9.54
PRL_24_04_03_1,12.93
PRL_24_04_03_2,10.88
PRL_24_04_03_3,16.89
PRL_24_04_03_4,27.5
PRL_24_04_03_5,15.88
PRL_24_04_03_6,9.84
PRL_24_04_04_1,11.0
PRL_24_04_04_2,11.22
PRL_24_04_04_3,17.61
PRL_24_04_04_4,29.58
PRL_24_04_04_5,15.41
PRL_24_04_04_6,9.84
PRL_24_04_05_1,9.72
PRL_24_04_05_2,9.18
PRL_24_04_05_3,12.89
PRL_24_04_05_4,18.5
PRL_24_04_05_5,12.81
PRL_24_04_05_6,9.65
PRL_24_04_06_1,8.89
PRL_24_04_06_2,8.9
PRL_24_04_06_3,14.25
PRL_24_04_06_4,28.91
PRL_24_04_06_5,13.8
PRL_24_04_06_6,8.88
PRL_24_04_07_1,9.16
PRL_24_04_07_2,8.57
PRL_24_04_07_3,14.0
PRL_24_04_07_4,32.5
PRL_24_04_07_5,15.19
PRL_24_04_07_6,8.22
PRL_24_04_08_1,11.25
PRL_24_04_08_2,14.0
PRL_24_04_08_3,16.22
PRL_24_04_08_4,30.68
PRL_24_04_08_5,21.88
PRL_24_04_08_6,13.9
PRL_24_04_09_1,12.0
PRL_24_04_09_2,12.25
PRL_24_04_09_3,14.3
PRL_24_04_09_4,20.31
PRL_24_04_09_5,14.1
PRL_24_04_09_6,11.25
PRL_24_04_10_1,26.01
PRL_24_04_10_2,18.75
PRL_24_04_10_3,26.52
PRL_24_04_10_4,36.48
PRL_24_04_10_5,24.9
PRL_24_04_10_6,15.98
PRL_24_04_11_1,22.5
PRL_24_04_11_2,17.28
PRL_24_04_11_3,25.25
PRL_24_04_11_4,36.14
PRL_24_04_11_5,23.5
PRL_24_04_11_6,15.66
PRL_24_04_12_1,17.25
PRL_24_04_12_2,14.92
PRL_24_04_12_3,24.68
PRL_24_04_12_4,34.75
PRL_24_04_12_5,23.48
PRL_24_04_12_6,15.0
PRL_24_04_13_1,17.25
PRL_24_04_13_2,14.92
PRL_24_04_13_3,38.8
PRL_24_04_13_4,36.72
PRL_24_04_13_5,28.99
PRL_24_04_13_6,15.0
PRL_24_04_14_1,24.85
PRL_24_04_14_2,25.0
PRL_24_04_14_3,47.87
PRL_24_04_14_4,72.01
PRL_24_04_14_5,30.5
PRL_24_04_14_6,13.73
PRL_24_04_15_1,13.82
PRL_24_04_15_2,14.1
PRL_24_04_15_3,30.85
PRL_24_04_15_4,37.19
PRL_24_04_15_5,23.0
PRL_24_04_15_6,19.04
PRL_24_04_16_1,18.75
PRL_24_04_16_2,19.93
PRL_24_04_16_3,31.5
PRL_24_04_16_4,36.36
PRL_24_04_16_5,23.24
PRL_24_04_16_6,18.0
PRL_24_04_17_1,11.0
PRL_24_04_17_2,17.8
PRL_24_04_17_3,20.65
PRL_24_04_17_4,25.0
PRL_24_04_17_5,19.0
PRL_24_04_17_6,12.15
PRL_24_04_18_1,9.79
PRL_24_04_18_2,13.9
PRL_24_04_18_3,14.1
